OBSERV_DATE,CLL,CNT,DMC,EMM,PCT,SAL,UNI
2024-10-01,761,304,0,191,"8,260",188,415
2024-10-02,834,304,290,189,"9,041",191,424
2024-10-03,"1,069",304,275,182,"10,044",197,444
2024-10-04,"1,553",308,277,178,"11,034",214,438
2024-10-05,"1,721",314,276,189,"11,360",210,450
2024-10-06,"2,418",318,267,252,"12,591",214,461
2024-10-07,"3,122",318,254,379,"14,347",220,467
2024-10-08,"4,723",314,249,463,"15,799",241,459
2024-10-09,"5,211",308,244,497,"15,425",265,439
2024-10-10,"4,580",302,247,458,"15,355",270,417
2024-10-11,"4,480",298,251,416,"15,341",270,414
2024-10-12,"4,131",295,257,424,"14,636",251,406
2024-10-13,"3,954",295,247,462,"14,787",233,361
2024-10-14,"4,779",296,253,577,"15,032",226,300
2024-10-15,"4,568",299,246,610,"14,868",215,299
2024-10-16,"4,676",303,253,724,"15,326",209,323
2024-10-17,"5,114",307,256,823,"15,434",204,315
2024-10-18,"5,000",309,248,635,"14,505",198,262
2024-10-19,"4,948",311,252,"1,001","15,222",203,295
2024-10-20,"5,501",315,249,"1,253","16,476",208,301
2024-10-21,"6,347",327,254,"1,458","17,061",213,280
2024-10-22,"6,217",335,258,"1,404","16,631",213,251
2024-10-23,"5,443",335,250,"1,197","16,131",208,266
2024-10-24,"4,863",331,250,"1,052","15,970",200,296
2024-10-25,"5,270",325,246,"1,100","16,320",198,348
2024-10-26,"5,957",320,254,"1,092","16,512",197,374
2024-10-27,"6,597",316,265,"1,202","16,998",195,293
2024-10-28,"7,066",313,279,"1,309","17,446",196,256
2024-10-29,"7,037",311,280,"1,122","17,345",198,271
2024-10-30,"7,033",309,264,"1,268","17,262",193,293
2024-10-31,"7,090",308,256,"1,443","17,665",194,286
2024-11-01,"7,559",308,247,"1,720","18,333",198,301
2024-11-02,"8,167",316,250,"2,243","18,895",204,318
2024-11-03,"8,224",320,251,"1,503","17,850",199,300
2024-11-04,"7,097",322,253,"1,936","17,821",196,300
2024-11-05,"7,959",323,262,"1,916","18,241",196,301
2024-11-06,"8,138",326,266,"1,449","17,116",200,329
2024-11-07,"6,944",327,274,"2,219","18,342",206,367
2024-11-08,"6,924",331,276,"2,103","18,543",213,428
2024-11-09,"7,087",336,286,"2,284","18,478",217,471
2024-11-10,"7,463",339,301,"2,240","18,323",211,494
2024-11-11,"8,194",335,306,"2,422","18,922",213,511
2024-11-12,"7,805",325,316,"2,024","18,138",212,536
2024-11-13,"7,872",315,327,"2,216","18,554",219,552
2024-11-14,"8,467",310,324,"2,619","19,295",236,572
2024-11-15,"9,826",307,318,"3,099","20,251",268,580
2024-11-16,"9,611",307,327,"3,055","20,073",269,584
2024-11-17,"9,410",309,336,"3,650","20,522",282,582
2024-11-18,"9,853",316,335,"3,587","20,410",284,597
2024-11-19,"8,835",327,346,"3,176","19,857",286,601
2024-11-20,"8,713",343,339,"3,678","21,023",319,612
2024-11-21,"8,419",356,328,"3,441","20,885",369,607
2024-11-22,"8,150",369,340,"3,246","19,797",376,0
2024-11-23,"6,739",380,343,"1,663","18,345",340,0
2024-11-24,"4,701",392,345,578,"15,411",314,0
2024-11-25,"3,069",405,354,290,"13,299",309,0
2024-11-26,"2,029",420,390,244,"11,340",303,0
2024-11-27,"1,055",437,428,262,"7,832",272,0
2024-11-28,738,460,439,283,"6,059",277,0
2024-11-29,0,488,458,293,"5,149",282,0
2024-11-30,0,518,467,304,"4,743",287,0
2024-12-01,0,544,463,317,"5,407",305,0
2024-12-02,0,560,477,305,"6,113",343,0
2024-12-03,0,566,482,329,"6,198",349,0
2024-12-04,0,565,459,353,"6,108",360,0
2024-12-05,689,562,449,348,"6,294",373,0
2024-12-06,543,558,442,329,"6,391",382,0
2024-12-07,553,554,438,312,"6,717",382,0
2024-12-08,764,550,460,303,"8,068",378,0
2024-12-09,"1,016",544,498,290,"8,880",364,0
2024-12-10,"1,336",542,526,288,"9,514",346,0
2024-12-11,"2,322",543,486,344,"11,666",377,0
2024-12-12,"4,640",544,507,721,"15,220",448,0
2024-12-13,"4,661",549,542,764,"15,239",414,662
2024-12-14,"6,904",553,543,"1,872","18,407",453,660
2024-12-15,"5,135",558,542,638,"14,734",398,620
2024-12-16,"3,387",563,577,489,"12,798",348,644
2024-12-17,"2,375",560,546,380,"10,729",339,623
2024-12-18,"1,087",557,555,363,"7,962",310,639
2024-12-19,487,551,0,261,"5,586",282,676
2024-12-20,353,550,0,213,"4,143",247,703
2024-12-21,279,550,617,197,"3,754",227,704
2024-12-22,261,548,632,196,"3,692",216,699
2024-12-23,269,545,460,208,"4,382",217,702
2024-12-24,0,540,0,214,"5,740",219,711
2024-12-25,0,535,0,247,"4,999",219,728
2024-12-26,0,531,291,0,"5,476",226,721
2024-12-27,0,526,630,0,"5,932",231,665
2024-12-28,0,520,650,0,"4,107",220,687
2024-12-29,0,518,650,0,"3,303",206,674
2024-12-30,0,514,639,0,"1,352",189,646
2024-12-31,0,510,0,0,829,189,667
2025-01-01,0,488,0,0,546,180,678
2025-01-02,0,492,557,0,397,177,692
2025-01-03,0,483,508,0,364,177,707
2025-01-04,0,476,495,0,287,173,731
2025-01-05,0,464,494,0,260,174,736
2025-01-06,0,449,485,0,313,175,726
2025-01-07,0,430,458,0,477,167,713
2025-01-08,0,412,452,0,"1,411",166,728
2025-01-09,0,395,427,0,"1,808",169,735
2025-01-10,0,378,427,0,"1,826",170,758
2025-01-11,0,360,415,0,"1,729",170,764
2025-01-12,0,342,417,0,"1,577",171,756
2025-01-13,0,326,427,0,"1,154",170,756
2025-01-14,0,316,424,0,"1,160",173,766
2025-01-15,0,303,414,0,"1,114",174,763
2025-01-16,0,291,425,182,"1,022",175,768
2025-01-17,0,286,437,181,881,176,773
2025-01-18,0,279,446,180,601,175,779
2025-01-19,0,273,453,181,707,176,775
2025-01-20,0,267,456,184,"1,232",176,776
2025-01-21,0,263,0,185,"2,520",177,777
2025-01-22,0,253,0,187,"4,879",180,749
2025-01-23,0,244,0,0,"8,027",183,677
2025-01-24,0,237,0,0,"11,543",187,729
2025-01-25,"2,937",0,0,283,"13,683",191,0
2025-01-26,"2,614",0,397,256,"11,075",192,0
2025-01-27,"2,264",0,420,306,"11,620",194,0
2025-01-28,"2,196",0,407,315,"11,019",197,0
2025-01-29,"2,081",0,0,296,"10,355",198,0
2025-01-30,"1,895",0,477,290,"9,379",200,733
2025-01-31,"1,547",0,465,284,"8,902",203,0
2025-02-01,"1,363",0,444,0,"8,905",204,0
2025-02-02,"1,005",0,400,0,"8,866",206,0
2025-02-03,656,0,408,0,"7,097",201,0
2025-02-04,401,0,411,0,"6,062",186,707
